,artist_name,track_name,year,energy,danceability,loudness,acousticness,speechiness,liveness,valence,bpm,duration
200,Little Mix,How Ya Doin'? (feat. Missy Elliott),2013,0.095,0.036,-0.003,9e-05,0.0048,0.0037,0.051,0.201,211.0
201,Kesha,Crazy Kids (feat. will.i.am),2013,0.075,0.072,-0.004,4e-05,0.0004,0.0013,0.05,0.128,229.0
202,Britney Spears,"Ooh La La (from ""The Smurfs 2"")",2013,0.057,0.069,-0.005,2e-05,0.0005,0.0011,0.073,0.128,257.0
203,Kelly Clarkson,People Like Us,2013,0.079,0.06,-0.005,4e-05,0.0004,0.0036,0.061,0.128,259.0
204,Ciara,Overdose,2013,0.07,0.077,-0.006,1e-05,0.0003,0.0006,0.079,0.107,227.0
205,Rihanna,Right Now - Dyro Radio Edit,2013,0.074,0.053,-0.006,0.0,0.0004,0.0024,0.045,0.13,186.0
206,Robin Thicke,Give It 2 U,2013,0.083,0.067,-0.004,1e-04,0.0007,0.0016,0.058,0.127,230.0
207,Jewel,Foolish Games,2013,0.034,0.051,-0.011,0.00023,0.0003,0.0012,0.007,0.132,250.0
208,Pitbull,Outta Nowhere (feat. Danny Mercer),2013,0.084,0.071,-0.004,0.00016,0.0003,0.0021,0.066,0.095,207.0
209,Kelly Rowland,Freak,2013,0.078,0.065,-0.005,0.00013,0.0006,0.0012,0.045,0.104,274.0
210,John Legend,All of Me,2014,0.026,0.042,-0.007,0.00092,0.0003,0.0013,0.033,0.12,270.0
211,Sam Smith,Stay With Me,2014,0.042,0.042,-0.006,0.00059,0.0004,0.0011,0.018,0.084,173.0
212,Calvin Harris,Summer,2014,0.086,0.06,-0.004,2e-05,0.0003,0.0014,0.074,0.128,223.0
213,Pharrell Williams,"Happy - From ""Despicable Me 2""",2014,0.082,0.065,-0.005,0.00022,0.0018,0.0009,0.096,0.16,233.0
214,MAGIC!,Rude,2014,0.076,0.077,-0.005,4e-05,0.0004,0.0031,0.093,0.144,225.0
215,Taylor Swift,Shake It Off,2014,0.08,0.065,-0.005,6e-05,0.0017,0.0033,0.094,0.16,219.0
216,Katy Perry,Dark Horse,2014,0.059,0.065,-0.006,0.0,0.0005,0.0017,0.035,0.132,216.0
217,Avicii,Hey Brother,2014,0.078,0.055,-0.005,3e-05,0.0004,0.0008,0.046,0.125,255.0
218,Maroon 5,Maps,2014,0.071,0.074,-0.006,2e-05,0.0003,0.0006,0.088,0.12,190.0
